id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita;despesa_contratada;porcentagem;votos
210000611374;DEPUTADO FEDERAL;IVAN ADMAR DORNELLES DUARTE;1353;IVAN DUARTE;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;PELOTAS;17/12/1961;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;VEREADOR;N;SUPLENTE;DEFERIDO;;86034.0;86032.19;0,21%;12439.0
210000604813;DEPUTADO FEDERAL;HADOIKA AIKO ANDO;1001;AIKO;APTO;DEFERIDO;10;PRB;PARTIDO REPUBLICANO BRASILEIRO;GUARATINGUETÁ;15/08/1972;FEMININO;SUPERIOR INCOMPLETO;CASADO(A);AMARELA;SERVIDOR PÚBLICO MUNICIPAL;N;SUPLENTE;DEFERIDO;64041.2;22632.34;11977.4;0,03%;1574.0
210000603891;DEPUTADO FEDERAL;FATIMA CAROLINA OLIVEIRA DOS SANTOS;7777;FATIMA SANTOS;APTO;DEFERIDO;77;SOLIDARIEDADE;SOLIDARIEDADE;PORTO ALEGRE;14/12/1959;FEMININO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);BRANCA;SECRETÁRIO E DATILÓGRAFO;N;NÃO ELEITO;DEFERIDO;;362340.0;350128.33;0,04%;2154.0
210000611345;DEPUTADO FEDERAL;LEO GIACOMO VENZON;1331;LEO VENZON;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;PORTO ALEGRE;12/10/1953;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;AGRÔNOMO;N;SUPLENTE;DEFERIDO;66085.29000000001;20800.0;17090.17;0,02%;1394.0
210000610913;DEPUTADO FEDERAL;DANIEL TEVAH;3131;DANIEL TEVAH;INAPTO;INDEFERIDO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;PORTO ALEGRE;01/01/1957;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;N;NÃO ELEITO;INDEFERIDO COM RECURSO;394971.96;31423.07;28757.36;0,00%;0.0
210000609473;DEPUTADO FEDERAL;ILDA PAZ NICOLETTI;6588;ILDA NICOLETTI;APTO;DEFERIDO;65;PC do B;PARTIDO COMUNISTA DO BRASIL;HORIZONTINA;05/01/1955;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;SERVIDOR PÚBLICO CIVIL APOSENTADO;N;NÃO ELEITO;DEFERIDO;;3043.5;1500.0;0,00%;98.0
210000610914;DEPUTADO FEDERAL;JULIO CESAR DA ROSA;3113;JULINHO DA CIDADE;APTO;DEFERIDO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;CACHOEIRINHA;03/03/1965;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);PRETA;EMPRESÁRIO;N;NÃO ELEITO;DEFERIDO;450000.0;8665.71;1000.0;0,01%;680.0
210000603675;DEPUTADO FEDERAL;JORGE ROMEU FONSECA DA SILVA;9009;FONSECA;INAPTO;INDEFERIDO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;ALVORADA;06/11/1961;MASCULINO;LÊ E ESCREVE;SOLTEIRO(A);BRANCA;OUTROS;N;;;;2195.12;;;
210000605288;DEPUTADO FEDERAL;LUÍS ARTHUR DE BITENCOURT;1535;ARTHUR SCHMIDT;APTO;DEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;SÃO LEOPOLDO;01/03/1980;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;SERVIDOR PÚBLICO FEDERAL;N;SUPLENTE;DEFERIDO;321094.38;223683.85;220705.38;0,25%;14382.0
210000604829;DEPUTADO FEDERAL;JERÔNIMO PIZZOLOTTO GOERGEN;1133;JERÔNIMO GOERGEN;APTO;DEFERIDO;11;PP;PROGRESSISTAS;PALMEIRA DAS MISSÕES;20/01/1976;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;DEPUTADO;S;ELEITO POR QP;DEFERIDO;1327186.3900000001;2336389.0;2323031.89;1,53%;89707.0
210000600971;DEPUTADO FEDERAL;LUIS AMARO PRESTES DE OLIVEIRA;2277;GAUCHINHO DE DEUS;APTO;DEFERIDO;22;PR;PARTIDO DA REPÚBLICA;SÃO LUIZ GONZAGA;20/06/1972;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;CANTOR E COMPOSITOR;N;SUPLENTE;DEFERIDO;90047.75;61815.0;52885.54;0,16%;9254.0
210000603868;DEPUTADO FEDERAL;CLAUDIOMIRO LOPES PEREIRA;5450;CLAUDIOMIRO VIGILANTE;APTO;DEFERIDO;54;PPL;PARTIDO PÁTRIA LIVRE;PORTO ALEGRE;21/04/1969;MASCULINO;ENSINO MÉDIO COMPLETO;VIÚVO(A);PRETA;VIGILANTE;N;NÃO ELEITO;DEFERIDO;;7298.0;5380.66;0,00%;257.0
210000616472;DEPUTADO FEDERAL;GIOVANA TEREZINHA DA SILVA ROSA;3600;GIOVANA ROSA;APTO;DEFERIDO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;SAPUCAIA DO SUL;29/09/1969;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);BRANCA;DONA DE CASA;N;SUPLENTE;DEFERIDO;;554.71;;0,00%;33.0
210000619086;DEPUTADO FEDERAL;ADECIR BERLE;5023;ADECIR BERLE;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;SANTO ANTONIO DO SUDOESTE;24/04/1972;MASCULINO;ENSINO MÉDIO INCOMPLETO;SOLTEIRO(A);BRANCA;OUTROS;N;SUPLENTE;DEFERIDO;;548.4100000000001;458.0;0,01%;442.0
210000616451;DEPUTADO FEDERAL;JOSÉ FERNANDO TARRAGO;5552;DR. FERNANDO TARRAGO;APTO;DEFERIDO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;GUAPORÉ;27/10/1944;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;MÉDICO;N;SUPLENTE;DEFERIDO;285398.46;29978.47;27488.56;0,22%;13023.0
210000600947;DEPUTADO FEDERAL;MARIA EDI DE MORAES GONZAGA;4077;DIZA GONZAGA;APTO;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;SANTIAGO;23/06/1953;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ARQUITETO;N;SUPLENTE;DEFERIDO;1558300.3199999998;528580.0;515741.9;0,88%;51623.0
210000603701;DEPUTADO FEDERAL;UBIRATAN ANTUNES SANDERSON;1720;SANDERSON FEDERAL;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;ERECHIM;01/12/1969;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;SERVIDOR PÚBLICO FEDERAL;N;ELEITO POR QP;DEFERIDO;985000.0;95929.75;92508.29000000001;1,52%;88559.0
210000609454;DEPUTADO FEDERAL;GIOVANI CULAU OLIVEIRA;6565;GIOVANI CULAU;APTO;DEFERIDO;65;PC do B;PARTIDO COMUNISTA DO BRASIL;PORTO ALEGRE;19/03/1994;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;N;NÃO ELEITO;DEFERIDO;;143009.5;135311.3;0,15%;8517.0
210000600031;DEPUTADO FEDERAL;ADAILSON DE LIMA RODRIGUES;5021;ADAILSON RODRIGUES;INAPTO;RENÚNCIA;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;SÃO GABRIEL;12/08/1981;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS;N;;;205100.0;;;;
210000600060;DEPUTADO FEDERAL;SHIN PINTO NISHIMURA;5030;SHIN NISHIMURA;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;PORTO ALEGRE;09/11/1984;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);AMARELA;PROFESSOR DE ENSINO FUNDAMENTAL;N;SUPLENTE;DEFERIDO;7083.0;1093.41;982.25;0,01%;427.0
210000600044;DEPUTADO FEDERAL;FERNANDA PINTO MIRANDA;5099;FERNANDA MIRANDA;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;PELOTAS;29/01/1982;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;VEREADOR;N;SUPLENTE;DEFERIDO;38363.44;23133.85;21411.76;0,13%;7733.0
